,Number of Splits,Trial,Distance,Average
2,4,11,0.5393472559402179,Euclidean-mean
3,4,11,1.7320425909962764,Random
0,4,12,0.3381995832566924,FL-mean
1,4,12,0.22879924047354108,GR-mean
2,4,12,1.2939375587177835,Euclidean-mean
3,4,12,1.7318339495145214,Random
0,4,13,0.23989606506855657,FL-mean
1,4,13,0.2051247309175969,GR-mean
2,4,13,0.5983694820552681,Euclidean-mean
3,4,13,1.7319540795024384,Random
0,4,14,0.1766181344500351,FL-mean
1,4,14,0.2672371994307045,GR-mean
2,4,14,1.450007991212224,Euclidean-mean
3,4,14,1.7318521255188315,Random
0,4,15,0.15515627660652506,FL-mean
1,4,15,0.18136358476125444,GR-mean
2,4,15,1.3001716843698987,Euclidean-mean
3,4,15,1.7318394722102035,Random
0,4,16,0.2566374074904561,FL-mean
1,4,16,0.5348263041851727,GR-mean
2,4,16,1.7212703621552603,Euclidean-mean
3,4,16,1.7319630950104372,Random
0,4,17,0.3113731193722048,FL-mean
1,4,17,0.8706953125546776,GR-mean
2,4,17,0.7273378272215546,Euclidean-mean
3,4,17,1.7313237845240264,Random
0,4,18,0.29341600064424017,FL-mean
1,4,18,0.24605888775665197,GR-mean
2,4,18,1.1641909452958756,Euclidean-mean
3,4,18,1.7319818218818215,Random
0,4,19,0.16981142364036012,FL-mean
1,4,19,0.4049674305432174,GR-mean
2,4,19,1.5392558820603226,Euclidean-mean
3,4,19,1.7318677229738306,Random
0,5,0,0.3769713060592966,FL-mean
1,5,0,0.4606410569380501,GR-mean
2,5,0,1.2746634739925171,Euclidean-mean
3,5,0,1.7320051102828626,Random
0,5,1,0.527105192008972,FL-mean
1,5,1,0.32279827556355095,GR-mean
2,5,1,1.3273007764587705,Euclidean-mean
3,5,1,1.7320075715909447,Random
0,5,2,0.20827514397422692,FL-mean
1,5,2,0.24241026240823516,GR-mean
2,5,2,0.9412344600165853,Euclidean-mean
3,5,2,1.7320430686720425,Random
0,5,3,0.30767638878517145,FL-mean
1,5,3,0.49255334598967443,GR-mean
2,5,3,0.84743173684116,Euclidean-mean
3,5,3,1.731990508830306,Random
0,5,4,0.25628889658221593,FL-mean
1,5,4,0.34410999308641865,GR-mean
2,5,4,1.2768443483278682,Euclidean-mean
3,5,4,1.7320404341298683,Random
0,5,5,0.2664094677724661,FL-mean
1,5,5,0.3457846693677416,GR-mean
2,5,5,1.2038256674194108,Euclidean-mean
3,5,5,1.7319965998260176,Random
0,5,6,0.24180843573306687,FL-mean
1,5,6,0.3085250212214054,GR-mean
2,5,6,0.3649709020723118,Euclidean-mean
3,5,6,1.7318458673695245,Random
0,5,7,0.3548928386396035,FL-mean
1,5,7,0.19925580678137658,GR-mean
2,5,7,1.2579731371464522,Euclidean-mean
3,5,7,1.7319581202615837,Random
0,5,8,0.4256433449921814,FL-mean
1,5,8,0.3319016153872286,GR-mean
2,5,8,1.1725001737676524,Euclidean-mean
3,5,8,1.7320104282680366,Random
0,5,9,0.2141880841043927,FL-mean
1,5,9,0.19277239688797018,GR-mean
2,5,9,1.2837119994018291,Euclidean-mean
3,5,9,1.7318739950209612,Random
0,5,10,0.25526273734677424,FL-mean
1,5,10,0.18719120772012968,GR-mean
2,5,10,1.5649197335270368,Euclidean-mean
3,5,10,1.7320167823989439,Random
0,5,11,0.22286631458584077,FL-mean
1,5,11,0.2175304753305737,GR-mean
2,5,11,0.8938697896867969,Euclidean-mean
3,5,11,1.7318374062410282,Random
0,5,12,0.28592263065652673,FL-mean
1,5,12,0.2828191833012273,GR-mean
2,5,12,1.1306221037634854,Euclidean-mean
3,5,12,1.7318619762502077,Random
0,5,13,0.4407489553577876,FL-mean
1,5,13,0.46635835980645696,GR-mean
2,5,13,1.2822223379008266,Euclidean-mean
3,5,13,1.731871514541639,Random
0,5,14,0.20093248057280483,FL-mean
1,5,14,0.3694647653505178,GR-mean
2,5,14,0.8687085654446433,Euclidean-mean
3,5,14,1.7319889784509104,Random
0,5,15,0.2950418995962492,FL-mean
1,5,15,0.36581909681136665,GR-mean
2,5,15,0.9863997158248277,Euclidean-mean
3,5,15,1.7319289246370302,Random
0,5,16,0.3755914132014581,FL-mean
1,5,16,0.32386777216008317,GR-mean
2,5,16,1.02819553172437,Euclidean-mean
3,5,16,1.7317991568340059,Random
0,5,17,0.28802859450841994,FL-mean
1,5,17,1.0159186511390967,GR-mean
2,5,17,1.308210295109282,Euclidean-mean
3,5,17,1.732044759228532,Random
0,5,18,0.35322315099558976,FL-mean
1,5,18,0.40589691863229277,GR-mean
2,5,18,0.7233956732176334,Euclidean-mean
3,5,18,1.73183982733567,Random
0,5,19,0.26784447359052005,FL-mean
1,5,19,0.31490098093205204,GR-mean
2,5,19,1.352280057617053,Euclidean-mean
3,5,19,1.731933744206579,Random
0,6,0,0.41189901043941146,FL-mean
1,6,0,0.484090092001231,GR-mean
2,6,0,1.5979783722799235,Euclidean-mean
3,6,0,1.7317941308564846,Random
0,6,1,0.5229059446272164,FL-mean
1,6,1,0.19650395031360293,GR-mean
2,6,1,1.1261672603189388,Euclidean-mean
3,6,1,1.731647214371785,Random
0,6,2,0.6419001954953131,FL-mean
1,6,2,0.6079823212636309,GR-mean
2,6,2,1.303762690000361,Euclidean-mean
3,6,2,1.7319864398677989,Random
0,6,3,0.2782951753997325,FL-mean
1,6,3,0.4570365325928042,GR-mean
2,6,3,1.383610743358916,Euclidean-mean
3,6,3,1.7319851931914834,Random
0,6,4,0.41008010141040807,FL-mean
1,6,4,0.3701143720006449,GR-mean
2,6,4,1.3304500754630069,Euclidean-mean
3,6,4,1.731749484318154,Random
0,6,5,0.34634524999972505,FL-mean
1,6,5,0.3540293356344327,GR-mean
